Datum;Zeit;Artnr;Preis;Name
23.02.2022;18:45:02;63930;131,7;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
24.02.2022;08:45:04;63930;132,17;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
24.02.2022;12:45:03;63930;132,09;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
24.02.2022;18:45:02;63930;132,01;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
25.02.2022;08:45:02;63930;132,17;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
25.02.2022;12:45:02;63930;132,17;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
25.02.2022;18:45:03;63930;132,17;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
26.02.2022;08:45:03;63930;132,17;"6TB Seagate Skyhawk Surveillance ST6000VX001 256MB 3.5"" (8.9cm) SATA 6Gb/s"
05.02.2022;17:00:20;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
05.02.2022;18:45:04;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
06.02.2022;08:45:02;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
06.02.2022;12:45:03;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
06.02.2022;18:45:02;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
07.02.2022;08:45:04;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
07.02.2022;12:45:04;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
07.02.2022;18:45:02;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
08.02.2022;08:45:02;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
08.02.2022;12:45:02;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
08.02.2022;18:45:03;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
09.02.2022;08:45:02;71033;119,92;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
09.02.2022;12:45:04;71033;119,8;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
09.02.2022;18:45:04;71033;119,8;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
10.02.2022;08:45:02;71033;119,8;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
10.02.2022;12:45:03;71033;119,8;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
10.02.2022;18:45:04;71033;119,8;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
11.02.2022;08:45:02;71033;119,8;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
11.02.2022;12:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
11.02.2022;18:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
12.02.2022;08:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
12.02.2022;12:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
12.02.2022;18:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
13.02.2022;08:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
13.02.2022;12:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
13.02.2022;18:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
14.02.2022;08:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
14.02.2022;12:45:04;71033;119,29;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
14.02.2022;18:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
15.02.2022;08:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
15.02.2022;12:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
15.02.2022;18:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
16.02.2022;08:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
16.02.2022;12:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
16.02.2022;18:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
17.02.2022;08:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
17.02.2022;12:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
17.02.2022;18:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
18.02.2022;08:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
18.02.2022;12:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
18.02.2022;18:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
19.02.2022;08:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
19.02.2022;12:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
19.02.2022;18:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
20.02.2022;08:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
20.02.2022;12:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
20.02.2022;18:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
21.02.2022;08:45:04;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
21.02.2022;12:45:02;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
21.02.2022;18:45:03;71033;119,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
22.02.2022;08:45:03;71033;117,42;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
22.02.2022;12:45:02;71033;117,42;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
22.02.2022;18:45:02;71033;117,42;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
23.02.2022;08:45:02;71033;117,42;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
23.02.2022;12:45:03;71033;117,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
23.02.2022;18:45:02;71033;117,3;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
24.02.2022;08:45:04;71033;112,43;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
24.02.2022;12:45:03;71033;112,43;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
24.02.2022;18:45:02;71033;112,43;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
25.02.2022;08:45:02;71033;112,43;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
25.02.2022;12:45:02;71033;112,43;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
25.02.2022;18:45:03;71033;109,87;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
26.02.2022;08:45:03;71033;109,87;"6TB Toshiba P300 HDWD260EZSTA 128MB 3.5"" (8.9cm) SATA 6Gb/s"
05.02.2022;17:00:20;71185;194,33;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
05.02.2022;18:45:04;71185;194,33;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
06.02.2022;08:45:02;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
06.02.2022;12:45:03;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
06.02.2022;18:45:02;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
07.02.2022;08:45:04;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
07.02.2022;12:45:04;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
07.02.2022;18:45:02;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
08.02.2022;08:45:02;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
08.02.2022;12:45:02;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
08.02.2022;18:45:03;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
09.02.2022;08:45:02;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
09.02.2022;12:45:04;71185;301,76;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
09.02.2022;18:45:04;71185;198,97;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
10.02.2022;08:45:02;71185;217,16;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
10.02.2022;12:45:03;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
10.02.2022;18:45:04;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
11.02.2022;08:45:02;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
11.02.2022;12:45:02;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
11.02.2022;18:45:02;71185;198,97;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
12.02.2022;08:45:02;71185;198,97;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
12.02.2022;12:45:03;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
12.02.2022;18:45:03;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
13.02.2022;08:45:04;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
13.02.2022;12:45:02;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
13.02.2022;18:45:02;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
14.02.2022;08:45:02;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
14.02.2022;12:45:04;71185;204,85;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
14.02.2022;18:45:04;71185;202,71;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
15.02.2022;08:45:04;71185;202,71;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
15.02.2022;12:45:04;71185;202,71;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
15.02.2022;18:45:04;71185;202,71;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
16.02.2022;08:45:04;71185;204,86;"6TB WD Red Pro WD6003FFBX 256MB 3.5"" (8.9cm) SATA 6Gb/s"
